pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
13.97,-1.524,0.0,top,A1,,,RaspberryPi_Pico_Common_THT,RaspberryPi_Pico,tht
36.953,-13.776,90.0,top,C1,,,C_1206_3216Metric,100nF,smt
8.3,-34.5,-90.0,top,C10,,,C_1206_3216Metric,100nF,smt
45.212,-39.116,180.0,top,C2,,,C_1206_3216Metric,100nF,smt
61.468,-36.322,0.0,top,C3,,,C_1206_3216Metric,100nF,smt
44.978,-22.776,180.0,top,C5,,,C_1206_3216Metric,100nF,smt
90.043,-21.971,0.0,top,C6,,,CP_Elec_8x5.4,100uF 9v,smt
71.628,-23.241,90.0,top,C7,,,C_1206_3216Metric,100nF,smt
90.678,-56.896,0.0,top,C8,,,CP_Elec_8x5.4,100uF 50v,smt
36.9,-19.5,0.0,top,C9,,,C_1206_3216Metric,100nF,smt
59.944,-55.88,90.0,top,D1,,,D_SOD-523,3v6,smt
79.102857,-55.88,90.0,top,D10,,,D_SOD-523,3v6,smt
76.417714,-55.88,90.0,top,D11,,,D_SOD-523,3v6,smt
73.732571,-55.88,90.0,top,D12,,,D_SOD-523,3v6,smt
71.047429,-55.88,90.0,top,D13,,,D_SOD-523,3v6,smt
68.362286,-55.88,90.0,top,D14,,,D_SOD-523,3v6,smt
65.677143,-55.88,90.0,top,D15,,,D_SOD-523,3v6,smt
62.992,-55.88,90.0,top,D16,,,D_SOD-523,3v6,smt
36.203,-4.276,0.0,top,D17,,,D_SOD-523,D_Schottky,smt
57.186286,-55.88,90.0,top,D2,,,D_SOD-523,3v6,smt
54.428571,-55.88,90.0,top,D3,,,D_SOD-523,3v6,smt
51.670857,-55.88,90.0,top,D4,,,D_SOD-523,3v6,smt
48.913143,-55.88,90.0,top,D5,,,D_SOD-523,3v6,smt
46.155429,-55.88,90.0,top,D6,,,D_SOD-523,3v6,smt
43.397714,-55.88,90.0,top,D7,,,D_SOD-523,3v6,smt
40.64,-55.88,90.0,top,D8,,,D_SOD-523,3v6,smt
81.788,-55.88,90.0,top,D9,,,D_SOD-523,3v6,smt
41.402,-70.612,0.0,top,J1,,,TerminalBlock_Xinya_XY308-2.54-8P_1x08_P2.54mm_Horizontal,Screw_Terminal_01x08,tht
63.5,-70.612,0.0,top,J2,,,TerminalBlock_Xinya_XY308-2.54-8P_1x08_P2.54mm_Horizontal,Screw_Terminal_01x08,tht
70.104,-4.572,180.0,top,J3,,,TerminalBlock_Xinya_XY308-2.54-8P_1x08_P2.54mm_Horizontal,Screw_Terminal_01x08,tht
90.6495,-48.006,90.0,top,J4,,,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,Screw_Terminal_01x04,tht
90.6495,-34.803,90.0,top,J5,,,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,Screw_Terminal_01x02,tht
45.0,-12.0,90.0,top,J6,,,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04_Pin,tht
4.1,-29.4,90.0,top,J7,,,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,Screw_Terminal_01x03,tht
12.9,-72.92,180.0,top,J8,,,PinHeader_1x06_P2.54mm_Vertical,Conn_01x06_Pin,tht
33.22,-72.92,180.0,top,J9,,,PinHeader_1x06_P2.54mm_Vertical,Conn_01x06_Pin,tht
59.944,-64.0695,90.0,top,R1,,,R_0805_2012Metric,10k,smt
46.155429,-64.0695,90.0,top,R10,,,R_0805_2012Metric,10k,smt
43.397714,-64.0695,90.0,top,R11,,,R_0805_2012Metric,10k,smt
40.64,-64.0695,90.0,top,R12,,,R_0805_2012Metric,10k,smt
71.047429,-64.008,90.0,top,R13,,,R_0805_2012Metric,10k,smt
68.362286,-64.008,90.0,top,R14,,,R_0805_2012Metric,10k,smt
65.677143,-64.008,90.0,top,R15,,,R_0805_2012Metric,10k,smt
62.992,-64.008,90.0,top,R16,,,R_0805_2012Metric,10k,smt
9.953,-13.276,90.0,top,R17,,,R_0805_2012Metric,4k7,smt
7.5,-13.3,90.0,top,R18,,,R_0805_2012Metric,4k7,smt
40.703,-5.026,90.0,top,R19,,,R_0805_2012Metric,100k,smt
57.186286,-64.0695,90.0,top,R2,,,R_0805_2012Metric,10k,smt
39.153,-60.276,90.0,top,R20,,,R_0805_2012Metric,1.5k,smt
42.153,-60.276,90.0,top,R21,,,R_0805_2012Metric,1.5k,smt
44.953,-60.276,90.0,top,R22,,,R_0805_2012Metric,1.5k,smt
47.703,-60.276,90.0,top,R23,,,R_0805_2012Metric,1.5k,smt
50.453,-60.276,90.0,top,R24,,,R_0805_2012Metric,1.5k,smt
53.203,-60.276,90.0,top,R25,,,R_0805_2012Metric,1.5k,smt
55.953,-60.276,90.0,top,R26,,,R_0805_2012Metric,1.5k,smt
58.703,-60.276,90.0,top,R27,,,R_0805_2012Metric,1.5k,smt
61.703,-60.276,90.0,top,R28,,,R_0805_2012Metric,1.5k,smt
64.453,-60.276,90.0,top,R29,,,R_0805_2012Metric,1.5k,smt
54.428571,-64.0695,90.0,top,R3,,,R_0805_2012Metric,10k,smt
